Date,Open,High,Low,Shares Traded,Turnover (Rs. Cr),Close
03-Aug-00,1330.7,1339.4,1319,37075727,2003.92,1321.25
04-Aug-00,1320.25,1333.15,1302.65,38818913,2398.1,1318.55
07-Aug-00,1319.7,1321.7,1299.9,33735626,1755.17,1310.8
08-Aug-00,1312.1,1348.25,1311.15,38046488,2702.94,1345.6
09-Aug-00,1345.95,1363.95,1341.05,44986130,2278.45,1344.95
10-Aug-00,1345.25,1360.4,1325.15,44327298,2141.22,1328
11-Aug-00,1328.15,1328.15,1306.6,36412192,1801.61,1310.75
14-Aug-00,1312.25,1321.55,1295.45,43856581,1754.49,1317.9
16-Aug-00,1319.35,1354.95,1319.35,40974798,2017.68,1351.45
17-Aug-00,1351.5,1363.05,1334.95,53407669,2036,1341.4
18-Aug-00,1342,1360.65,1339.05,48685807,2759.83,1358.05
21-Aug-00,1358.75,1374.5,1358.75,49039737,2623.58,1370.25
22-Aug-00,1370.75,1394.9,1370.75,52198971,2682.16,1381.2
23-Aug-00,1381.6,1398.9,1376.9,61613888,2909.66,1386.05
24-Aug-00,1386.3,1390.45,1374.9,44508722,2495.19,1386.95
25-Aug-00,1387.35,1396.1,1377.75,50255008,2737.87,1381.25
28-Aug-00,1379.6,1383.45,1368.25,37279363,1762.03,1369.85
29-Aug-00,1368.65,1373.55,1360.65,38510859,1904.42,1367.7
30-Aug-00,1369.9,1384.85,1369.8,43639136,2125.99,1375.95
31-Aug-00,1376.5,1397.3,1375.9,41752795,2911.67,1394.1
04-Sep-00,1395.95,1433.15,1395.95,59118945,3166.7,1427.75
05-Sep-00,1428.05,1434.65,1420.9,46660762,2260.14,1428.25
06-Sep-00,1430.9,1444.45,1421,55564667,2500.5,1435.35
07-Sep-00,1434.7,1450.2,1424.35,50581945,2438.64,1439.75
08-Sep-00,1440.6,1453.15,1440.6,48947780,2895.93,1450.05
11-Sep-00,1449.35,1469,1448.95,48899129,2813.46,1456.35
12-Sep-00,1457.1,1470.55,1447.8,44769146,2577.54,1467.65
13-Sep-00,1467.65,1482,1452.6,40899886,2469.6,1456.15
14-Sep-00,1456.75,1466.65,1437.85,48935189,3029.32,1445.3
15-Sep-00,1443.25,1451.05,1411.55,48417567,2754.79,1417.2
18-Sep-00,1416.05,1416.05,1352.1,44613980,2370.04,1354.35
19-Sep-00,1351.8,1361.7,1295.3,61402728,2743.89,1317
20-Sep-00,1317.8,1351.1,1311.1,42014443,1857.75,1342.9
21-Sep-00,1341.65,1347.4,1325.75,37264457,1601.33,1329.85
22-Sep-00,1329.1,1329.1,1261.2,53881081,2465.04,1266.45
25-Sep-00,1268.4,1305.1,1268.4,42390608,1999.04,1292.55
26-Sep-00,1292.9,1298.25,1261,46208596,1908.5,1267.9
27-Sep-00,1267.45,1299,1249.35,49801255,2127.47,1292.55
28-Sep-00,1292.4,1302.75,1260.8,60964211,2528.87,1266.4
